Date,VIX,SPY
1993-01-29,12.42,24.1754
1993-02-01,12.33,24.3473
1993-02-02,12.25,24.3989
1993-02-03,12.12,24.6568
1993-02-04,12.29,24.76
1993-02-05,12.9,24.7428
1993-02-08,13.22,24.7428
1993-02-09,13.48,24.5709
1993-02-10,13.43,24.6052
1993-02-11,12.69,24.7256
1993-02-12,12.38,24.5365
1993-02-16,15.76,23.9175
1993-02-17,15.9,23.9003
1993-02-18,15.56,23.8831
1993-02-19,15.02,23.969
1993-02-22,14.7,24.055
1993-02-23,15.04,24.0378
1993-02-24,14.72,24.3473
1993-02-25,13.76,24.3989
1993-02-26,13.16,24.4333
1993-03-01,13.6,24.3645
1993-03-02,12.49,24.7256
1993-03-03,13.13,24.8288
1993-03-04,13.44,24.6912
1993-03-05,14.08,24.6224
1993-03-08,16.22,25.1727
1993-03-09,14.17,25.0867
1993-03-10,13.91,25.1383
1993-03-11,14.26,25.0695
1993-03-12,15.66,24.8116
1993-03-15,14.74,24.9319
1993-03-16,14.51,24.9319
1993-03-17,14.53,24.7772
1993-03-18,14.17,24.9319
1993-03-19,13.23,24.8942
1993-03-22,13.66,24.756
1993-03-23,13.02,24.8078
1993-03-24,12.44,24.8078
1993-03-25,12.08,24.9633
1993-03-26,12.21,24.8251
1993-03-29,12.63,24.9288
1993-03-30,12.23,24.9979
1993-03-31,12.53,24.9806
1993-04-01,13.02,24.8942
1993-04-02,14.5,24.3759
1993-04-05,14.12,24.4969
1993-04-06,14.24,24.4278
1993-04-07,13.64,24.5141
1993-04-08,12.83,24.4796
1993-04-12,11.93,24.8251
1993-04-13,11.7,24.8769
1993-04-14,11.76,24.8424
1993-04-15,10.96,24.8424
1993-04-16,11.29,24.8424
1993-04-19,12.06,24.7387
1993-04-20,11.94,24.6178
1993-04-21,12.11,24.6005
1993-04-22,12.68,24.2896
1993-04-23,13.36,24.1859
1993-04-26,15.25,23.9959
1993-04-27,13.93,24.255
1993-04-28,13.12,24.2032
1993-04-29,12.8,24.3068
